馬總統 0.045536(1504/2302)	新興市場 0.010968(363/942)	人事同意權 0.00503(165/405)	區段徵收 0.004636(152/170)	專案小組 0.004605(154/266)	都市計畫 0.004393(145/444)	桃園航空城 0.003424(109/208)	航空城計畫 0.003(100/114)	台灣省政府 0.002727(90/102)	網路購物 0.002394(82/100)	
島國前進 0.004958(153/155)	共同決定 0.003695(114/135)	人民決定 0.003079(95/115)	張志軍來 0.003046(92/268)	民主陣線 0.002593(81/105)	國台辦發言人 0.002463(74/133)	台灣未來 0.002301(64/194)	沒有辦法 0.002269(63/244)	國安會秘書長 0.002269(73/180)	黑箱服貿 0.002171(65/81)	
數據顯示 0.006371(184/302)	投資者 0.005889(182/362)	網路簡訊 0.005028(146/146)	罹難者 0.004133(122/784)	新低 0.003582(102/200)	中國經濟 0.002755(79/197)	傳統旺季 0.002583(74/185)	大陸房市 0.002135(63/104)	今年來 0.001998(59/116)	市場預期 0.001894(56/358)	
預估值 0.004661(139/183)	2014年7月 0.003504(108/760)	客家文化 0.002007(59/254)	應用程式 0.001973(55/186)	開發商 0.001905(57/186)	目標價調升 0.001837(54/64)	江西省委 0.001735(51/55)	上午8時 0.001667(45/282)	植物工廠 0.001667(47/75)	中央社翻譯 0.001565(46/318)	
障礙者 0.008369(266/314)	人工生殖 0.00646(203/203)	身心障礙 0.005601(173/520)	身障者 0.003819(121/148)	勞動力發展 0.003341(105/152)	路跑活動 0.002546(79/148)	發展署 0.002546(78/98)	不孕夫妻 0.002514(79/83)	台灣國際 0.00245(78/200)	就業中心 0.002419(79/100)	
家扶中心 0.010134(319/353)	人才招募 0.006068(189/197)	海軍陸戰隊 0.005035(156/172)	推薦新聞 0.003873(116/552)	全民國防 0.003486(108/111)	金融海嘯 0.003195(98/272)	桃園機場 0.003066(104/370)	學員們 0.002776(87/114)	志願士兵 0.00255(79/79)	大陸政府 0.002356(71/234)	
高雄氣爆 0.037805(2366/2368)	新聞相關 0.030753(1912/2914)	相關影音 0.030465(1943/2756)	氣爆事件 0.02111(1319/1320)	高雄市政府 0.019495(1209/1468)	罹難者 0.007996(488/784)	氣爆意外 0.006397(400/402)	李長榮化工 0.005741(361/362)	石化氣爆 0.004958(310/310)	發生氣爆 0.004766(297/302)	
標準時間 0.072355(3463/3482)	台北標準 0.072313(3450/3480)	時間下午 0.036753(1758/1758)	時間上午 0.028239(1351/1782)	中央社2014年 0.017864(853/854)	達志影像 0.017299(827/828)	2014年6月 0.016797(809/920)	週四台北 0.014894(715/804)	新鮮事 0.013011(619/1324)	天下新鮮 0.012656(608/1308)	
臉書 0.025116(716/1060)	中心主任 0.003846(109/414)	參賽者 0.003361(95/132)	影響台灣 0.002495(69/252)	朱立倫表示 0.002321(66/206)	下午1時 0.002287(66/110)	滯留鋒面 0.002287(64/177)	國際金融 0.002113(64/165)	氣象局預報 0.002079(59/158)	鋒面影響 0.002079(63/147)	
下午5時 0.003403(96/530)	上海福喜 0.003178(85/85)	審慎樂觀 0.002842(78/148)	8月4日 0.002505(65/140)	公司營運 0.002131(59/102)	沒人 0.001944(51/364)	市政會議 0.001832(53/170)	參選連任 0.001683(46/115)	研發中心 0.001533(41/95)	專家指出 0.001421(37/136)	
台北捷運 0.007605(228/288)	捷運公司 0.006456(191/218)	國家公園 0.004023(115/484)	外籍勞工 0.00311(92/200)	森林公園 0.00213(61/152)	沒有人 0.002062(64/320)	台北市政府 0.002062(58/372)	醫療團隊 0.002028(60/92)	高雄捷運 0.001995(57/204)	銀髮俱樂部 0.001893(56/56)	
新台幣兌 0.006476(207/259)	大法人 0.006255(196/361)	教宗方濟 0.006002(190/190)	中獎號碼 0.00398(129/187)	研究中心 0.003601(116/306)	字頭 0.003601(109/188)	加權指數 0.003001(98/219)	天主教教宗 0.002464(78/78)	7月10日 0.002433(75/148)	股王大立光 0.002433(76/131)	
2014年7月 0.011302(335/760)	活動期間 0.006562(192/322)	7月1日 0.004501(119/602)	宏達電 0.004226(123/211)	奈米製程 0.004054(120/178)	7月30日 0.003367(81/158)	事件發生 0.002645(73/300)	網購 0.002268(64/136)	減量 0.002199(66/112)	晶圓代工 0.002096(59/127)	
