歷史新高 0.017891(668/928)	創新高 0.009372(345/652)	社會責任 0.006789(250/338)	新高紀錄 0.00631(242/370)	5月營收 0.005911(226/311)	創下歷史 0.005245(199/248)	6月營收 0.005085(187/319)	現金股息 0.00402(151/158)	大陸國家 0.003781(142/634)	工業電腦 0.003594(135/143)	
高雄市政府 0.014906(498/1468)	國家安全 0.006946(218/422)	外籍勞工 0.003627(114/200)	馬英九總統 0.003074(102/714)	研究中心 0.00252(76/306)	投入救援 0.002428(77/90)	政治人物 0.002305(81/498)	關聖帝君 0.001967(64/71)	指揮中心 0.001691(54/154)	宗教團體 0.001629(52/124)	
航空公司 0.02002(650/808)	冰桶挑戰 0.008616(272/318)	7月1日 0.007237(226/602)	復興航空 0.0047(147/668)	值得注意 0.004668(153/376)	長榮航空 0.003572(117/186)	接受挑戰 0.003008(94/132)	年減 0.002726(95/207)	國營事業 0.002632(87/210)	搭車 0.002569(92/292)	
嚴部長 0.004425(148/148)	高雄市府 0.003887(128/212)	推薦新聞 0.00302(101/552)	消防人員 0.002661(91/176)	高雄市民 0.002272(75/180)	租賃公司 0.002213(74/79)	電動巴士 0.002153(72/72)	高產值 0.001944(65/65)	武器裝備 0.001734(59/75)	大陸地區 0.001734(55/226)	
公路總局 0.007433(238/324)	台塑集團 0.006702(225/292)	河靜鋼鐵 0.003899(128/128)	駐美 0.003412(112/122)	國家公園 0.002925(98/484)	美代表 0.002894(95/104)	環境影響 0.00265(94/160)	來自星星 0.002194(74/108)	7月15日 0.002163(69/172)	今年暑假 0.002102(72/116)	
防空識別區 0.005419(171/189)	中共中央 0.003074(100/272)	台灣彩券 0.002155(68/101)	業者說 0.001933(68/154)	國家電影 0.00187(59/87)	電影中心 0.00187(59/59)	開除黨籍 0.001775(55/109)	彩券行 0.00149(47/51)	帶回家 0.001426(45/152)	環境教育 0.001363(44/160)	
認購權證 0.004411(133/240)	法人認為 0.002952(88/206)	獲利了結 0.002715(79/142)	維持穩定 0.002579(78/112)	積極布局 0.002545(75/116)	國泰證 0.002443(72/102)	8月1日 0.002341(69/438)	鴻海集團 0.002341(75/344)	產品組合 0.002206(64/117)	去年9月 0.002002(62/144)	
投資者 0.005223(160/362)	沒人 0.004739(152/364)	工作人員 0.004707(151/512)	文教基金會 0.002966(89/284)	日常生活 0.002805(86/178)	監察委員 0.002644(87/506)	汽車公司 0.002579(81/102)	上班上課 0.002096(67/146)	電信公司 0.001999(57/158)	筆電 0.001967(64/160)	
新興市場 0.015112(889/942)	基金經理人 0.013157(776/824)	法人表示 0.0051(301/447)	貨幣政策 0.004437(254/346)	企業獲利 0.004046(240/251)	資料顯示 0.003944(240/536)	地緣政治 0.003689(215/218)	歐洲央行 0.00357(210/212)	經濟數據 0.002924(172/206)	指數上漲 0.00272(152/293)	
美國國防部 0.003296(103/166)	系列產品 0.0031(99/165)	世界遺產 0.002937(90/90)	相關新聞 0.00235(71/116)	彈道飛彈 0.002219(66/153)	小狗 0.002056(65/75)	去年10月 0.001958(60/148)	容積移轉 0.00186(57/78)	地下管線 0.001795(54/96)	科技產業 0.001697(51/148)	
中國大陸 0.030886(969/4584)	美國總統 0.010572(329/462)	2014年7月 0.010157(325/760)	總統歐巴馬 0.008113(259/400)	馬政府 0.008113(254/612)	國家主席 0.005526(172/624)	為例 0.004248(139/836)	積極推動 0.003993(114/410)	大陸國家 0.003769(128/634)	旅遊旺季 0.003546(112/158)	
高收益 0.015419(485/485)	收益債 0.010459(329/329)	組合基金 0.004991(156/173)	收益債券 0.004006(126/126)	投資組合 0.00372(115/156)	債券基金 0.00302(96/147)	季經濟 0.00213(67/183)	低利 0.002003(65/84)	市場債券 0.001908(60/103)	資產配置 0.001876(60/152)	
7月31日 0.002558(81/288)	大陸央行 0.002525(77/85)	國際金融 0.002259(71/165)	中國人民 0.002193(67/334)	巡弋飛彈 0.002093(59/103)	勞退基金 0.001993(60/108)	本報資料 0.001761(50/82)	自治政府 0.001694(51/51)	人民銀行 0.001628(48/139)	銀行大陸 0.001495(43/50)	
新鮮事 0.022924(697/1324)	天下新鮮 0.022536(693/1308)	復興航空 0.005917(183/668)	受訪者 0.00485(147/294)	下午5時 0.004753(152/530)	結果顯示 0.004333(136/192)	障礙者 0.003783(116/314)	醫療器材 0.003557(109/212)	民調顯示 0.003557(109/194)	民調結果 0.00346(100/326)	
台北股市 0.008767(259/355)	股市今天 0.006901(206/247)	成交金額 0.004234(119/456)	都市更新 0.004234(121/342)	無人 0.0041(120/540)	美國國務卿 0.004(120/250)	台股今天 0.003567(108/146)	國務卿凱瑞 0.003334(104/226)	金額新台幣 0.0033(99/191)	現貨相較 0.002867(86/86)	
數據顯示 0.005959(193/302)	今天上午 0.005666(181/430)	弱勢家庭 0.004884(152/316)	新低 0.003093(97/200)	弱勢團體 0.002605(82/140)	慈善基金會 0.002573(68/255)	中國經濟 0.002573(76/197)	自由時報2014年 0.002507(75/316)	傳統旺季 0.002377(78/185)	6月29日 0.002377(74/190)	
基隆市長 0.018537(789/789)	國民黨提名 0.005451(231/266)	參選基隆 0.005286(225/225)	議長黃景泰 0.005122(219/384)	市長選舉 0.003736(150/299)	基隆市議會 0.003454(147/147)	市長參選人 0.003125(128/712)	黨中央 0.003078(132/490)	市議會議長 0.003007(130/132)	郝龍斌 0.00289(128/1432)	
副總統吳敦義 0.007393(220/356)	國際機場 0.006204(195/308)	呼籲民眾 0.004372(134/250)	國民黨主席 0.004372(138/218)	合一選舉 0.003054(90/172)	中山會報 0.002925(87/103)	重建家園 0.002797(89/200)	中國國民黨 0.002475(80/416)	今年4月 0.00209(63/366)	總統今天 0.001897(62/103)	
台灣經濟 0.00993(309/728)	做事 0.00454(145/280)	量身 0.003822(112/180)	海峽兩岸 0.002711(84/350)	環境保護 0.002646(76/274)	節約能源 0.002385(71/73)	世足賽 0.002319(71/400)	國民待遇 0.001797(55/55)	民進黨提名 0.001764(57/125)	軸電腦 0.001731(53/53)	
協會理事長 0.006183(204/388)	國道收費員 0.004534(153/164)	附加價值 0.004181(141/214)	交通部長葉匡時 0.004063(132/184)	徵才活動 0.003445(115/124)	農曆七月 0.003121(108/127)	找工作 0.002503(95/128)	就業中心 0.002326(78/100)	收費員自救會 0.002326(72/92)	遠通公司 0.002179(75/90)	
為例 0.010671(309/836)	年增 0.009203(281/694)	新車 0.006364(200/358)	業者表示 0.006266(198/346)	市場預期 0.004504(138/358)	今年5月 0.00372(109/354)	生命財產 0.003231(98/154)	中國政府 0.002676(83/282)	災區民眾 0.002252(73/142)	業者指出 0.002121(62/156)	
文化園區 0.003127(94/176)	液晶電視 0.00245(74/190)	空品淨化區 0.002257(70/70)	台中市政府 0.002193(63/312)	空氣品質 0.001709(54/186)	董氏基金會 0.001644(52/92)	創意料理 0.001612(52/88)	今天舉辦 0.001354(41/76)	交接典禮 0.001322(48/100)	財政部表示 0.00129(34/74)	
模範父親 0.003171(100/121)	產業園區 0.002826(91/180)	彰南產業 0.002386(76/76)	公民基金會 0.001696(53/176)	地球公民 0.001696(53/176)	工作機會 0.001664(47/320)	彰化縣政府 0.001633(51/220)	花蓮縣黨部 0.001507(48/48)	聚光型太陽能 0.001444(46/46)	植物工廠 0.001444(44/75)	
身心障礙 0.012589(382/520)	中華電信 0.009861(301/1046)	元大寶來 0.005654(168/260)	公司董事長 0.005522(168/320)	金融機構 0.005226(160/352)	集團旗下 0.004799(147/382)	科技公司 0.003846(117/262)	社福團體 0.003846(120/218)	主題樂園 0.002696(79/132)	公司總經理 0.002498(74/228)	
