靖國神社 0.00381(136/136)	主席習 0.00325(117/484)	大貓熊 0.002858(102/105)	不少人 0.002661(90/226)	世足賽 0.001933(72/400)	集團旗下 0.001821(64/382)	三星電子 0.001737(63/109)	生產基地 0.001653(60/102)	總統朴槿惠 0.001597(55/228)	參拜靖國 0.001429(51/51)	
變形金剛 0.004524(155/182)	無人 0.003532(129/540)	國民黨中常會 0.002452(78/204)	人士指出 0.001956(73/370)	即時通訊 0.001693(59/72)	總統指出 0.001489(51/94)	公職人員選舉 0.00143(54/72)	行政部門 0.00143(52/123)	信保基金 0.001372(47/55)	農委會主委 0.001372(47/62)	
12年國教 0.005693(215/404)	免試入學 0.005018(187/275)	數據顯示 0.004186(174/302)	衛生福利部 0.003068(116/258)	大陸房市 0.002704(104/104)	新低 0.002366(88/200)	中國經濟 0.002158(80/197)	傳統旺季 0.002002(77/185)	級分 0.001976(73/130)	物價指數 0.00195(78/292)	
地球公民 0.003622(122/176)	公民基金會 0.003453(124/176)	8月1日 0.002358(83/438)	蘋果公司 0.002302(79/117)	曾銘宗表示 0.002022(74/102)	8月8日 0.001853(67/140)	主委曾銘宗 0.001629(54/226)	天然氣公司 0.001544(50/96)	金管會主委 0.001516(48/230)	喜憨兒 0.001516(54/74)	
新北市長 0.02834(1209/1236)	市長朱立倫 0.022883(979/1004)	新北市 0.018058(756/2388)	民進黨立委 0.010868(455/734)	市長胡志強 0.009978(406/654)	新北市政府 0.009673(407/470)	訪台 0.008877(379/858)	行政院長江 0.008596(373/728)	長江宜樺 0.008502(354/702)	市長陳菊 0.00801(354/884)	
高收益 0.012419(470/485)	收益債 0.008466(316/329)	冰桶挑戰 0.006837(248/318)	新興市場 0.005368(189/942)	投資者 0.004514(180/362)	中央公園 0.004514(169/200)	為例 0.003365(130/836)	收益債券 0.003205(119/126)	債券基金 0.003152(119/147)	交通部觀光局 0.003018(112/300)	
供應鏈 0.009329(328/584)	馬政府 0.007161(245/612)	新聞專輯 0.00408(146/388)	法人指出 0.003909(136/274)	季業績 0.00331(116/315)	為例 0.003281(114/836)	女王頭 0.003138(110/110)	相關產品 0.002397(87/194)	路跑活動 0.002311(76/148)	飛彈擊落 0.002283(81/198)	
國是會議 0.011992(463/468)	經貿國是 0.011268(435/440)	值得注意 0.004006(147/376)	政務次長 0.002972(116/148)	駐美 0.002714(103/122)	7月1日 0.002688(105/602)	人受傷 0.002636(106/330)	人死亡 0.002611(98/280)	經濟復甦 0.002404(96/222)	經濟研究院 0.002404(94/106)	
市長參選人 0.0075(281/712)	民調結果 0.006263(230/326)	受訪者 0.003895(148/294)	人士說 0.003763(150/238)	專案小組 0.003711(138/266)	區段徵收 0.003184(120/170)	受歡迎 0.003132(119/242)	都市計畫 0.003079(110/444)	民調顯示 0.003079(114/194)	新民調 0.002816(110/117)	
行政院長江宜樺 0.00348(124/196)	副主委張顯耀 0.003237(120/149)	今年7月 0.003075(117/302)	消費滿 0.003021(109/248)	新竹米粉 0.00294(109/109)	國家安全 0.002455(90/422)	台北市議員 0.002185(77/208)	特任副主委 0.002185(81/81)	移送調查局 0.001915(71/71)	工作疑點 0.001808(67/67)	
