馬政府 0.009589(275/612)	為例 0.004372(125/836)	電信業者 0.004019(113/284)	聲明表示 0.003913(111/156)	營收達 0.003455(98/239)	商業營業額 0.003314(95/99)	今天宣布 0.00275(72/202)	創歷年 0.002644(75/158)	公共自行車 0.002609(71/100)	創下歷年 0.002503(73/94)	
台北國際 0.009054(247/332)	彰化縣長 0.004689(124/174)	經濟部工業局 0.004076(109/216)	總統朴槿惠 0.002958(82/228)	南韓總統 0.002814(78/186)	南港展覽館 0.002525(64/97)	調查結果 0.002489(70/226)	縣長卓伯源 0.002453(71/134)	福利基金會 0.002128(63/120)	生物科技 0.002056(56/170)	
國家公園 0.011594(359/484)	公園管理處 0.002371(72/94)	抽獎活動 0.002209(66/122)	地方人士 0.002209(67/158)	美國國務院 0.002209(68/132)	七股海鮮節 0.002144(66/66)	交通管制 0.002111(66/125)	高產值 0.002111(65/65)	機會獲得 0.002014(63/120)	太魯閣國家 0.001981(61/61)	
主管機關 0.02156(722/1112)	基本工資 0.021253(693/700)	工資審議 0.005774(188/188)	審議委員會 0.002949(94/290)	特任副主委 0.002488(81/81)	物價指數 0.002396(75/292)	基層員工 0.002212(73/95)	移送調查局 0.002181(71/71)	工作疑點 0.002058(67/67)	發生嚴重 0.001997(64/162)	
馬總統 0.073361(2035/2302)	總統馬英九 0.006282(174/1040)	人事同意權 0.00621(174/405)	總統說 0.005596(151/350)	馬英九今天 0.002889(80/116)	中央銀行 0.002816(81/188)	總統表示 0.002708(82/240)	旗魚酥 0.002383(66/66)	台聯立委 0.002058(57/140)	監委人事 0.001733(46/94)	
高收益 0.014105(485/485)	新興市場 0.013989(493/942)	收益債 0.009568(329/329)	組合基金 0.00477(163/173)	大陸國家 0.004304(145/634)	債券基金 0.004275(147/147)	投資組合 0.004188(142/156)	為例 0.003926(131/836)	基金經理人 0.003781(124/824)	收益債券 0.003665(126/126)	
陳震遠 0.005083(151/151)	陳震武 0.003736(111/111)	大陸地區 0.002727(80/226)	國泰世華 0.002424(71/193)	國際期刊 0.002121(63/63)	教育部長蔣偉寧 0.001986(57/134)	集團旗下 0.001953(57/382)	土地徵收 0.001852(56/138)	來自台灣 0.001818(55/136)	國防部發言人 0.001717(55/81)	
花東鐵路 0.006038(196/294)	鐵路電氣化 0.005545(182/310)	現金股利 0.003635(117/282)	來台 0.003605(125/2678)	觀光產業 0.003112(95/384)	旅行業者 0.002711(90/138)	大陸組團社 0.00265(86/86)	台旅遊 0.002588(85/92)	旅遊品質 0.002434(83/110)	7月16日 0.002342(76/114)	
認購權證 0.004667(133/240)	服務品質 0.004311(119/268)	陸軍司令部 0.004204(120/130)	法人認為 0.003099(84/206)	派人 0.002957(82/162)	獲利了結 0.002636(76/142)	國泰證 0.002529(75/102)	積極布局 0.002316(70/116)	產品組合 0.002316(71/117)	維持穩定 0.002209(61/112)	
創新高 0.008145(235/652)	立法院長王金平 0.004415(128/308)	共同決定 0.003902(115/135)	人民決定 0.003423(97/115)	7月營收 0.003286(93/251)	警方表示 0.002807(81/132)	產能利用率 0.002772(80/194)	國台辦發言人 0.002772(82/133)	台灣未來 0.002362(70/194)	事件發生 0.002327(66/300)	
經濟成長 0.018214(797/864)	區域經濟 0.008202(351/394)	自由貿易 0.007721(331/474)	經濟成長率 0.007721(339/416)	大陸經濟 0.007629(337/492)	媒體報導 0.007309(314/830)	貿易協定 0.007286(320/328)	中國大陸 0.007125(302/4584)	全球經濟 0.006484(282/366)	經濟合作 0.006255(286/480)	
高雄市政府 0.00745(203/1468)	公車路線 0.003742(114/200)	國際社會 0.003504(107/252)	文教基金會 0.003436(94/284)	上午11時 0.003232(86/404)	女學生 0.003232(92/128)	交通局長 0.003096(90/251)	資料照片 0.002858(82/164)	遊客中心 0.002586(80/137)	國家風景區 0.002143(67/140)	
