宣布參選 0.00681(157/273)	桃園縣政府 0.006587(151/354)	社會福利 0.005919(122/286)	水上樂園 0.003205(71/93)	週六台北 0.003071(69/248)	人士表示 0.00276(67/246)	台北市民 0.002582(63/150)	今7日 0.002537(56/88)	相關人士 0.002537(59/120)	合宜住宅案 0.002359(53/193)	
台灣本島 0.002351(54/134)	身體狀況 0.002183(51/90)	國防部發言人 0.002015(52/81)	連勝文說 0.001973(48/127)	加油打氣 0.001931(54/192)	鼓勵民眾 0.001931(47/168)	震撼彈 0.001805(41/92)	台大醫院 0.001553(43/150)	造勢活動 0.001469(37/89)	家庭因素 0.001469(35/102)	
國台辦主任 0.019219(529/968)	主任張志軍 0.01868(520/954)	兩岸關係 0.018536(531/1526)	來台 0.015627(436/2678)	台北國際 0.00582(170/332)	大陸國台辦 0.00564(159/628)	靖國神社 0.004886(136/136)	兩岸經貿 0.004778(136/328)	推動兩岸 0.003952(111/170)	台灣民眾 0.003772(112/560)	
生物多樣性 0.002344(71/248)	地面部隊 0.002208(65/69)	香港馬會 0.002072(61/61)	提供武器 0.0018(54/69)	自治政府 0.001732(51/51)	空襲行動 0.001732(51/51)	發動空襲 0.001698(54/83)	停火協議 0.001664(48/110)	體驗活動 0.00163(48/232)	工作機會 0.001596(43/320)	
新北市 0.014916(406/2388)	市長胡志強 0.014072(404/654)	台中市長 0.013403(376/622)	台中市政府 0.008091(238/312)	大台中 0.007353(210/218)	競選總部 0.006368(174/358)	胡市長 0.005453(155/161)	參選人林佳龍 0.005171(147/147)	市長參選人 0.00394(110/712)	民進黨台中 0.003483(99/99)	
黃埔建軍 0.00614(148/148)	8月4日 0.002904(66/140)	營養午餐 0.002365(56/158)	人民幣匯率 0.002323(54/75)	人民幣兌 0.002033(47/54)	空軍司令部 0.002033(47/95)	慶祝黃埔 0.001784(42/44)	即期匯率 0.001494(37/43)	公營事業 0.001369(32/44)	派人 0.001328(33/162)	
今天表示 0.024471(606/1074)	太陽花 0.010541(250/416)	花學運 0.009466(233/382)	網路簡訊 0.006035(146/146)	政治人物 0.005126(129/498)	馬英九總統 0.004837(118/714)	同業公會 0.004093(101/274)	下午3時 0.003307(81/246)	資產配置 0.002729(64/152)	供民眾 0.002687(66/188)	
歷史新高 0.020686(535/928)	成交金額 0.009464(232/456)	上市公司 0.008564(219/260)	鴻海集團 0.007899(199/344)	集團董事長 0.007274(184/472)	董事長郭台銘 0.004654(127/256)	勞退基金 0.004224(108/108)	產業合作 0.003637(93/154)	大陸企業 0.003363(83/150)	證券交易所 0.003246(80/152)	
電信業者 0.00515(119/284)	雲端服務 0.004779(119/176)	8月13日 0.002596(57/136)	電信服務 0.002431(58/72)	指標建案 0.002184(54/66)	伸出援手 0.002019(49/100)	新集團 0.001978(49/89)	公司目前 0.001689(40/59)	達志2013年 0.001648(43/93)	立山黑部 0.001566(38/38)	
注中獎 0.008872(237/237)	國泰世華 0.003968(106/193)	今彩 0.002808(75/83)	資本市場 0.002658(81/343)	中獎號碼 0.002209(60/187)	世華銀行 0.002172(58/93)	天氣熱 0.002134(53/108)	台灣市場 0.002097(54/286)	今年暑假 0.001947(58/116)	綜合實驗區 0.001947(53/66)	
