中央社翻譯 0.006696(185/318)	做公益 0.005271(153/262)	請民眾 0.003633(105/170)	今天上午 0.003277(92/430)	穿戴裝置 0.002885(80/234)	行動支付 0.002315(62/91)	7月10日 0.00203(56/148)	臉書 0.001995(54/1060)	桃園縣政府 0.001959(50/354)	騎機車 0.001924(49/88)	
翠玉白菜 0.0107(346/346)	故宮博物院 0.009741(316/316)	國立故宮 0.008813(285/285)	國立博物館 0.005783(187/187)	神品至寶展 0.004608(149/149)	赴日 0.004175(132/218)	博物院神品 0.002196(71/71)	故宮文物 0.002196(70/71)	6月24日 0.002165(73/170)	人士表示 0.002103(65/246)	
桃園縣政府 0.006495(192/354)	週六台北 0.00304(87/248)	護樹團體 0.002453(74/82)	8月13日 0.002211(64/136)	合宜住宅案 0.002038(57/193)	8月6日 0.002004(58/86)	環境保護 0.001831(55/274)	資訊中心 0.001797(52/78)	統計局 0.001797(51/98)	研究中心 0.001762(50/306)	
新藥 0.013401(442/454)	大陸市場 0.009832(325/674)	管理委員會 0.00354(121/188)	金酒公司 0.003358(111/116)	監督管理 0.003267(108/108)	解決問題 0.002995(92/356)	運動中心 0.002965(97/172)	美國商會 0.002662(89/106)	做事 0.002632(89/280)	市場規模 0.002572(87/170)	
亞太電信 0.003895(121/223)	保險公司 0.003347(108/406)	上午11時 0.002768(87/404)	亞太電 0.002704(85/91)	江院長 0.002607(81/166)	吸金 0.002382(73/170)	教育訓練 0.002028(65/118)	高等法院 0.001867(53/160)	觀光產業 0.00177(55/384)	產險業者 0.001642(50/57)	
行政院長江 0.02025(602/728)	長江宜樺 0.0181(546/702)	民進黨立委 0.011183(333/734)	江宜樺 0.008597(258/300)	今天表示 0.005541(166/1074)	新產品 0.00309(89/521)	房祖名 0.002452(73/83)	廉價航空 0.002418(71/116)	業者說 0.002385(66/154)	就職典禮 0.002385(71/176)	
都市計畫 0.008781(272/444)	客家文化 0.002917(91/254)	雲林縣政府 0.002398(75/96)	今年4月 0.002236(64/366)	公共住宅 0.002204(70/98)	中央公園 0.002009(57/200)	海外說明會 0.001944(60/60)	彈道飛彈 0.001944(53/153)	協會理事長 0.001912(61/388)	偏鄉 0.001847(57/64)	
台北市長參選人 0.017198(825/1282)	參選人連勝文 0.015438(728/728)	國民黨台北市長 0.01196(564/564)	參選人柯文哲 0.007125(335/540)	柯文哲說 0.006616(312/334)	在野整合 0.006235(294/294)	競選總幹事 0.003987(188/188)	醫師柯文哲 0.003351(158/264)	連勝文競選 0.003181(150/150)	競選總部 0.00316(147/358)	
主席習 0.005877(194/484)	教宗方濟 0.005756(190/190)	工作人員 0.004514(138/512)	總統朴槿惠 0.004241(140/228)	大陸國家 0.003696(130/634)	文教基金會 0.002727(92/284)	南韓總統 0.002727(90/186)	訪問南韓 0.002484(80/84)	化學物質 0.002424(80/152)	天主教教宗 0.002363(78/78)	
海運快遞 0.002411(72/72)	8月2日 0.001909(56/244)	資訊揭露 0.001775(53/61)	相關訊息 0.001574(44/178)	積極推動 0.001474(41/410)	永續發展 0.00144(38/262)	7月31日 0.001373(43/288)	遊艇碼頭 0.001206(37/52)	快遞貨物 0.001172(35/35)	上海商銀 0.001139(36/45)	
董事長郭台銘 0.007613(252/256)	鴻海集團 0.007432(259/344)	鴻海董事長 0.005619(186/188)	集團董事長 0.004955(173/472)	開發單位 0.003474(115/122)	國泰人壽 0.003444(117/159)	壽險公司 0.003021(90/273)	富邦人壽 0.0029(98/116)	公會理事長 0.002326(77/272)	產業合作 0.002326(75/154)	
中國大陸 0.029043(1487/4584)	大陸國家 0.009851(495/634)	國家主席 0.009459(489/624)	集體自衛權 0.007364(377/381)	美國總統 0.007148(363/462)	總統歐巴馬 0.005817(297/400)	日本政府 0.004544(225/384)	新產品 0.003878(201/521)	報導指出 0.003702(186/498)	美日 0.003388(173/196)	
公益活動 0.005251(169/340)	海軍陸戰隊 0.003792(114/172)	聲明表示 0.00363(113/156)	投資金額 0.003176(100/252)	世界展望會 0.002658(82/82)	人才招募 0.002658(84/197)	台資企業 0.002366(73/156)	後備指揮部 0.002269(72/83)	經營團隊 0.002237(67/160)	今天宣布 0.002172(68/202)	
國際油價 0.006185(207/207)	中油公司 0.00496(171/212)	人力銀行 0.004482(154/324)	無鉛汽油 0.004422(148/148)	液晶電視 0.003346(117/190)	高架化 0.003257(105/131)	鐵路高架 0.002659(88/97)	農曆7月 0.002629(85/136)	調查顯示 0.002629(91/290)	社會新鮮人 0.002629(87/144)	
台北市長參選人 0.016136(457/1282)	馬政府 0.009216(270/612)	為例 0.00877(240/836)	人受傷 0.007743(223/330)	縣長參選人 0.005824(167/253)	今天下午 0.005721(171/406)	今年3月 0.00442(116/370)	營收為 0.004146(119/321)	台灣市場 0.004077(121/286)	人死亡 0.003735(113/280)	
靖國神社 0.00491(136/136)	原物料 0.004224(116/190)	托育資源 0.002347(66/83)	違規項目 0.001914(53/53)	參拜靖國 0.001841(51/51)	產能過剩 0.001553(41/103)	神社參拜 0.00148(41/41)	受訪表示 0.001444(38/302)	發改委 0.001444(41/58)	資源中心 0.001408(38/76)	
調查報告 0.003885(121/242)	就職典禮 0.003062(94/176)	新任總統 0.002503(75/140)	馬總統 0.002107(64/2302)	8月1日 0.002075(62/438)	台日通 0.001976(60/60)	達成共識 0.001877(55/202)	蓬勃發展 0.001844(56/174)	容積移轉 0.001844(54/78)	交易平台 0.001745(53/110)	
