防空識別區 0.003916(136/189)	預計今年 0.003386(120/280)	汽車公司 0.00265(94/102)	今年度 0.002238(75/268)	附加價值 0.001973(63/214)	容積移轉 0.001767(60/78)	中華民國遠征軍 0.00159(54/54)	醫療器材 0.001561(53/212)	約新台幣 0.001472(46/228)	乙華旅行社 0.001443(49/49)	
台塑集團 0.005746(211/292)	變形金剛 0.003813(139/182)	河靜鋼鐵 0.003486(128/128)	和平發展 0.002587(93/390)	線上報名 0.00256(94/100)	同業公會 0.002397(92/274)	供民眾 0.001879(61/188)	投資說明會 0.001689(62/63)	為免費 0.001661(61/61)	日本房地產 0.001607(59/59)	
合宜住宅 0.008145(296/944)	下午4時 0.006041(230/536)	地方法院 0.005016(178/218)	鴻海董事長 0.004963(184/188)	代表處 0.004531(155/286)	受害者 0.003398(119/176)	涉貪 0.003317(119/343)	遠雄集團 0.00329(122/203)	董事長郭台銘 0.003183(118/256)	八德合宜 0.003129(118/269)	
國民黨團 0.009752(554/555)	監察委員 0.007569(429/506)	監督條例 0.007111(410/689)	馬總統 0.005686(330/2302)	條例草案 0.00565(320/348)	兩岸協議 0.005404(302/581)	協議監督 0.005158(290/503)	人事同意權 0.004383(257/405)	立法院黨團 0.00426(242/242)	監察院人事 0.003996(227/227)	
身心障礙 0.010042(356/520)	障礙者 0.007539(272/314)	應變中心 0.006878(248/470)	氣候變遷 0.005971(212/360)	購物中心 0.003439(132/358)	身障者 0.003137(118/148)	生物多樣性 0.003082(110/248)	環境保護 0.002284(85/274)	永續發展 0.001761(64/262)	全國電子 0.001734(62/135)	
主計總處 0.007619(272/372)	創新高 0.006194(235/652)	幸福人壽 0.005125(187/187)	國寶人壽 0.004604(168/295)	月餅禮盒 0.003289(122/162)	蛋黃酥 0.002933(109/117)	7月營收 0.002631(95/251)	再生能源 0.002576(98/444)	產能利用率 0.002165(78/194)	預計明年 0.002056(76/214)	
集團董事長 0.00641(256/472)	鴻海集團 0.004537(175/344)	協會理事長 0.0043(160/388)	董事長郭台銘 0.002823(105/256)	產業合作 0.002532(92/154)	世界遺產 0.002348(89/90)	公會理事長 0.002084(74/272)	觀光工廠 0.002084(77/174)	客家文化 0.001873(68/254)	外銷訂單 0.001794(64/118)	
總統馬英九 0.02023(744/1040)	行政院長江 0.014776(549/728)	長江宜樺 0.014427(526/702)	民進黨立委 0.009296(346/734)	馬總統 0.007738(287/2302)	災害應變 0.005669(209/384)	江宜樺 0.005669(225/300)	就職典禮 0.004541(170/176)	加密手機 0.002821(105/105)	新任總統 0.001961(72/140)	
基隆市長 0.009728(489/789)	馬英九總統 0.006171(304/714)	參選基隆 0.004523(225/225)	國民黨中常會 0.00404(201/204)	市長選舉 0.003578(177/299)	市長參選人 0.003377(173/712)	黨中央 0.003337(167/490)	議長黃景泰 0.003035(144/384)	國民黨提名 0.003015(155/266)	諮詢委員 0.002392(118/144)	
貿易協定 0.003154(115/328)	產業發展 0.003004(96/754)	國民黨中央 0.002313(74/184)	選舉委員會 0.002103(74/140)	今年5月 0.001953(58/354)	世界貿易 0.001803(58/110)	人力銀行 0.001773(57/324)	報導說 0.001622(54/262)	台南市政府 0.001532(53/206)	網路金融 0.001502(50/50)	
觀光旅遊 0.004857(168/342)	台灣高鐵 0.003891(138/252)	來自星星 0.002721(91/108)	自由貿易 0.001902(64/474)	旅遊市場 0.001785(60/116)	老爺酒店 0.001726(57/128)	官員說 0.001551(54/324)	民間機構 0.001551(53/70)	高鐵財務 0.001522(52/52)	累積雨量 0.001463(50/127)	
中華電信 0.026645(1046/1046)	經濟成長 0.014851(576/864)	大陸經濟 0.005349(212/492)	台灣大 0.005095(198/214)	經濟成長率 0.005069(210/416)	台灣大哥大 0.005044(198/198)	今年4月 0.004815(186/366)	科技公司 0.004229(172/262)	集團旗下 0.003872(151/382)	遠傳電信 0.003745(146/182)	
高雄市政府 0.005868(196/1468)	公車路線 0.002843(95/200)	交通局長 0.002722(91/251)	經營團隊 0.002208(66/160)	願景 0.002027(69/326)	自然生態 0.001996(67/138)	交通工具 0.001996(68/144)	智慧型手機 0.001966(67/1126)	救援小組 0.001815(60/60)	社會企業 0.001754(59/158)	
103年8月 0.014715(484/580)	黨中央 0.008155(273/490)	民進黨立委 0.00331(106/734)	縣長吳志揚 0.002588(80/374)	在野大聯盟 0.002287(76/211)	台北外匯 0.002287(76/76)	新台幣兌 0.002016(65/259)	今天開盤價 0.001986(66/66)	經紀公司 0.001746(59/94)	外匯交易員 0.001685(56/56)	
台北市長參選人 0.012886(440/1282)	原物料 0.00312(107/190)	高市府 0.002712(94/336)	陸委會副主委 0.00242(82/222)	植物工廠 0.002129(75/75)	張顯耀 0.00207(70/192)	廉價航空 0.001895(64/116)	高產值 0.001895(65/65)	新創公司 0.001837(62/84)	報告顯示 0.001429(48/150)	
