教宗方濟 0.005556(190/190)	通訊軟體 0.00424(144/188)	天主教教宗 0.002281(78/78)	租賃公司 0.002193(73/79)	電動巴士 0.002047(70/72)	社會福利 0.001959(70/286)	固態硬碟 0.001959(65/133)	新創公司 0.001843(65/84)	中國領空 0.001638(56/90)	即時通訊 0.00155(54/72)	
再生能源 0.010163(355/444)	鴻海集團 0.006681(239/344)	董事長郭台銘 0.006228(221/256)	鴻海董事長 0.005237(186/188)	集團董事長 0.005181(175/472)	太陽光電 0.004643(165/174)	代表處 0.00453(173/286)	今年度 0.003539(131/268)	變形金剛 0.003256(115/182)	預計今年 0.002859(97/280)	
經濟成長 0.017169(839/864)	經濟成長率 0.0084(412/416)	大陸經濟 0.007212(351/492)	全球經濟 0.00461(230/366)	中國大陸 0.003237(166/4584)	金融市場 0.002787(133/199)	經濟合作 0.002479(112/480)	季經濟 0.002233(107/183)	經濟發展 0.002151(89/1042)	美國聯 0.002151(104/117)	
石化專區 0.013257(522/522)	石化管線 0.012165(479/528)	經濟發展 0.007213(288/1042)	石化產業 0.003734(146/321)	經濟部長杜紫軍 0.002997(120/134)	地方政府 0.002921(110/1190)	台灣民眾 0.00287(106/560)	石化工業區 0.002616(101/106)	高雄市政府 0.002413(96/1468)	管線安全 0.002311(89/94)	
季營收 0.014227(943/943)	合併營收 0.012508(831/1277)	季成長 0.006126(412/430)	年增 0.005416(355/694)	法人預估 0.00516(342/342)	歷史新高 0.004194(274/928)	創歷史 0.003681(242/376)	資本支出 0.003485(235/305)	季合併 0.00338(229/341)	平板電腦 0.003259(205/636)	
馬總統 0.056444(2048/2302)	總統馬英九 0.004843(169/1040)	人事同意權 0.004788(169/405)	總統說 0.004405(157/350)	罹難者 0.003311(118/784)	總統表示 0.002846(107/240)	無人 0.002654(96/540)	就職典禮 0.002545(95/176)	今天下午 0.002326(82/406)	公司表示 0.002326(85/290)	
人力銀行 0.008507(289/324)	身心障礙 0.005845(192/520)	調查顯示 0.003907(127/290)	社會新鮮人 0.003154(110/144)	董事長張忠謀 0.002113(80/134)	調查發現 0.001939(73/210)	台積電董事長 0.00191(65/116)	今年5月 0.001852(60/354)	空氣品質 0.001794(61/186)	高鐵公司 0.001534(53/168)	
台塑集團 0.005624(191/292)	靖國神社 0.00409(136/136)	壽險公司 0.00409(138/273)	人士指出 0.003038(103/370)	服務品質 0.002917(94/268)	海外投資 0.002406(79/167)	集團董事長 0.001985(69/472)	做事 0.001805(58/280)	中國夢 0.001564(52/92)	參拜靖國 0.001534(51/51)	
罹難者 0.009225(312/784)	美國國防部 0.004127(130/166)	彈道飛彈 0.003551(118/153)	美國海軍 0.002398(76/122)	去年10月 0.002276(77/148)	2014年3月 0.002185(78/164)	社會住宅 0.002155(84/792)	衛生福利部 0.00176(62/258)	食品藥物 0.001609(53/118)	基礎設施 0.001578(49/166)	
馬英九總統 0.012034(390/714)	新北市政府 0.007412(249/470)	人受傷 0.005612(185/330)	人死亡 0.003241(118/280)	僑教中心 0.003151(105/111)	沒人 0.002761(94/364)	政治人物 0.002611(78/498)	競選團隊 0.002491(80/193)	人擔心 0.002221(69/104)	科技大學 0.002191(70/370)	
